year,number
01-1875,10
01-1876,10
01-1877,10
01-1878,8
01-1879,9
01-1880,5
01-1881,9
01-1882,9
01-1883,9
01-1884,9
01-1885,9
01-1886,10
01-1887,11
01-1888,11
01-1889,11
01-1890,10
01-1891,11
01-1892,11
01-1893,14
01-1894,13
01-1895,14
01-1896,14
01-1897,14
01-1898,13
01-1899,13
01-1900,10
01-1901,12
01-1902,14
01-1903,12
01-1904,12
01-1905,15
01-1906,15
01-1907,15
01-1908,11
01-1909,15
01-1910,15
01-1911,15
01-1912,16
01-1913,14
01-1914,14
01-1915,14
01-1916,14
01-1917,14
01-1918,14
01-1919,14
01-1920,17
01-1921,18
01-1922,19
01-1923,19
01-1924,23
01-1925,23
01-1926,22
01-1927,24
01-1928,27
01-1929,26
01-1930,26
01-1931,31
01-1932,27
01-1933,29
01-1934,34
01-1935,34
01-1936,34
01-1937,39
01-1938,35
01-1939,35
01-1940,34
01-1941,35
01-1942,43
01-1943,37
01-1944,37
01-1945,37
01-1946,40
01-1947,38
01-1948,37
01-1949,40
01-1950,37
01-1951,35
01-1952,35
01-1953,39
01-1954,37
01-1955,38
01-1956,46
01-1957,46
01-1958,48
01-1959,57
01-1960,57
01-1961,56
01-1962,55
01-1963,60
01-1964,61
01-1965,63
01-1966,59
01-1967,61
01-1968,64
01-1969,67
01-1970,62
01-1971,67
01-1972,58
01-1973,57
01-1974,62
01-1975,57
01-1976,55
01-1977,53
01-1978,64
01-1979,58
01-1980,54
01-1981,57
01-1982,55
01-1983,57
01-1984,60
01-1985,57
01-1986,52
01-1987,59
01-1988,55
01-1989,57
01-1990,57
01-1991,66
01-1992,59
01-1993,62
01-1994,58
01-1995,60
01-1996,59
01-1997,62
01-1998,61
01-1999,66
01-2000,57
01-2001,57
01-2002,56
01-2003,59
01-2004,58
01-2005,55
01-2006,57
01-2007,61
01-2008,53
01-2009,64
01-2010,50
01-2011,51
01-2012,51
01-2013,63
01-2014,55
01-2015,55
01-2016,58
01-2017,40
