year,number
01-1875,0
01-1876,0
01-1877,0
01-1878,0
01-1879,0
01-1880,0
01-1881,0
01-1882,0
01-1883,0
01-1884,0
01-1885,0
01-1886,0
01-1887,0
01-1888,0
01-1889,0
01-1890,0
01-1891,0
01-1892,0
01-1893,0
01-1894,0
01-1895,0
01-1896,0
01-1897,0
01-1898,0
01-1899,0
01-1900,0
01-1901,0
01-1902,0
01-1903,0
01-1904,0
01-1905,0
01-1906,0
01-1907,0
01-1908,0
01-1909,0
01-1910,0
01-1911,0
01-1912,0
01-1913,0
01-1914,0
01-1915,0
01-1916,0
01-1917,0
01-1918,0
01-1919,0
01-1920,0
01-1921,0
01-1922,0
01-1923,0
01-1924,0
01-1925,0
01-1926,0
01-1927,0
01-1928,0
01-1929,0
01-1930,0
01-1931,0
01-1932,0
01-1933,0
01-1934,0
01-1935,0
01-1936,0
01-1937,0
01-1938,0
01-1939,0
01-1940,0
01-1941,0
01-1942,0
01-1943,0
01-1944,0
01-1945,0
01-1946,0
01-1947,0
01-1948,0
01-1949,0
01-1950,0
01-1951,0
01-1952,0
01-1953,0
01-1954,0
01-1955,0
01-1956,0
01-1957,0
01-1958,0
01-1959,0
01-1960,0
01-1961,0
01-1962,0
01-1963,0
01-1964,0
01-1965,0
01-1966,0
01-1967,0
01-1968,1
01-1969,1
01-1970,1
01-1971,1
01-1972,1
01-1973,0
01-1974,0
01-1975,0
01-1976,0
01-1977,0
01-1978,0
01-1979,0
01-1980,0
01-1981,0
01-1982,0
01-1983,0
01-1984,0
01-1985,1
01-1986,0
01-1987,0
01-1988,0
01-1989,0
01-1990,0
01-1991,0
01-1992,0
01-1993,0
01-1994,0
01-1995,1
01-1996,1
01-1997,1
01-1998,1
01-1999,0
01-2000,0
01-2001,0
01-2002,0
01-2003,1
01-2004,1
01-2005,1
01-2006,1
01-2007,3
01-2008,1
01-2009,0
01-2010,0
01-2011,0
01-2012,0
01-2013,0
01-2014,0
01-2015,0
01-2016,1
