year,number
01-1875,12
01-1876,11
01-1877,11
01-1878,9
01-1879,10
01-1880,6
01-1881,9
01-1882,9
01-1883,9
01-1884,8
01-1885,8
01-1886,6
01-1887,6
01-1888,6
01-1889,7
01-1890,5
01-1891,5
01-1892,2
01-1893,6
01-1894,6
01-1895,6
01-1896,6
01-1897,6
01-1898,6
01-1899,6
01-1900,5
01-1901,7
01-1902,7
01-1903,4
01-1904,4
01-1905,4
01-1906,4
01-1907,4
01-1908,2
01-1909,4
01-1910,4
01-1911,4
01-1912,3
01-1913,4
01-1914,7
01-1915,7
01-1916,8
01-1917,8
01-1918,9
01-1919,9
01-1920,8
01-1921,8
01-1922,8
01-1923,7
01-1924,5
01-1925,5
01-1926,5
01-1927,4
01-1928,3
01-1929,4
01-1930,4
01-1931,4
01-1932,3
01-1933,5
01-1934,2
01-1935,2
01-1936,2
01-1937,2
01-1938,2
01-1939,2
01-1940,2
01-1941,2
01-1942,3
01-1943,2
01-1944,2
01-1945,3
01-1946,4
01-1947,3
01-1948,3
01-1949,4
01-1950,5
01-1951,4
01-1952,4
01-1953,4
01-1954,3
01-1955,4
01-1956,4
01-1957,4
01-1958,3
01-1959,7
01-1960,9
01-1961,10
01-1962,11
01-1963,11
01-1964,12
01-1965,11
01-1966,11
01-1967,10
01-1968,13
01-1969,12
01-1970,10
01-1971,13
01-1972,11
01-1973,11
01-1974,14
01-1975,14
01-1976,13
01-1977,10
01-1978,13
01-1979,11
01-1980,12
01-1981,11
01-1982,11
01-1983,9
01-1984,9
01-1985,12
01-1986,11
01-1987,11
01-1988,12
01-1989,11
01-1990,11
01-1991,12
01-1992,11
01-1993,10
01-1994,10
01-1995,8
01-1996,8
01-1997,9
01-1998,7
01-1999,6
01-2000,4
01-2001,7
01-2002,5
01-2003,5
01-2004,7
01-2005,8
01-2006,7
01-2007,9
01-2008,4
01-2009,3
01-2010,3
01-2011,4
01-2012,4
01-2013,6
01-2014,6
01-2015,7
01-2016,7
