year,number
01-1875,1
01-1876,1
01-1877,1
01-1878,1
01-1879,1
01-1880,1
01-1881,2
01-1882,2
01-1883,2
01-1884,2
01-1885,2
01-1886,2
01-1887,2
01-1888,2
01-1889,2
01-1890,2
01-1891,2
01-1892,2
01-1893,2
01-1894,2
01-1895,2
01-1896,2
01-1897,2
01-1898,2
01-1899,2
01-1900,1
01-1901,3
01-1902,3
01-1903,4
01-1904,4
01-1905,5
01-1906,5
01-1907,5
01-1908,3
01-1909,6
01-1910,6
01-1911,6
01-1912,7
01-1913,7
01-1914,6
01-1915,6
01-1916,5
01-1917,5
01-1918,5
01-1919,5
01-1920,4
01-1921,4
01-1922,3
01-1923,3
01-1924,3
01-1925,3
01-1926,3
01-1927,3
01-1928,3
01-1929,3
01-1930,3
01-1931,3
01-1932,2
01-1933,2
01-1934,1
01-1935,1
01-1936,1
01-1937,2
01-1938,2
01-1939,2
01-1940,2
01-1941,2
01-1942,4
01-1943,3
01-1944,3
01-1945,3
01-1946,4
01-1947,6
01-1948,6
01-1949,6
01-1950,4
01-1951,4
01-1952,4
01-1953,4
01-1954,4
01-1955,4
01-1956,4
01-1957,3
01-1958,3
01-1959,3
01-1960,2
01-1961,3
01-1962,5
01-1963,4
01-1964,4
01-1965,5
01-1966,4
01-1967,4
01-1968,4
01-1969,4
01-1970,4
01-1971,7
01-1972,9
01-1973,8
01-1974,11
01-1975,9
01-1976,9
01-1977,9
01-1978,11
01-1979,10
01-1980,10
01-1981,8
01-1982,8
01-1983,11
01-1984,12
01-1985,12
01-1986,14
01-1987,12
01-1988,19
01-1989,17
01-1990,15
01-1991,17
01-1992,17
01-1993,17
01-1994,17
01-1995,17
01-1996,13
01-1997,13
01-1998,11
01-1999,13
01-2000,10
01-2001,9
01-2002,10
01-2003,9
01-2004,8
01-2005,9
01-2006,10
01-2007,9
01-2008,4
01-2009,5
01-2010,6
01-2011,5
01-2012,5
01-2013,5
01-2014,4
01-2015,6
01-2016,3
01-2017,2
